system:time_start,NDVI_mean,NDVI_stdDev
"Mar 25, 2021",0.172,0.089
"Mar 31, 2021",0.201,0.093
"Apr 4, 2021",0.254,0.158
"Apr 7, 2021",0.25,0.155
"Apr 8, 2021",0.246,0.102
"Apr 14, 2021",0.325,0.204
"Apr 17, 2021",0.325,0.199
"Apr 19, 2021",0.299,0.169
"Apr 27, 2021",0.339,0.184
"May 2, 2021",0.38,0.175
"May 2, 2021",0.376,0.225
"May 4, 2021",0.388,0.238
"May 7, 2021",0.373,0.22
"May 10, 2021",0.357,0.12
"May 18, 2021",0.386,0.171
"May 22, 2021",0.317,0.153
"May 29, 2021",0.379,0.232
"Jun 1, 2021",0.384,0.227
"Jun 3, 2021",0.401,0.199
"Jun 3, 2021",0.389,0.241
"Jun 6, 2021",0.372,0.236
"Jun 11, 2021",0.399,0.097
"Jun 19, 2021",0.402,0.199
"Jun 21, 2021",0.371,0.235
"Jun 27, 2021",0.4,0.131
"Jul 8, 2021",0.399,0.257
"Jul 31, 2021",0.407,0.249
"Aug 2, 2021",0.407,0.249
"Aug 5, 2021",0.374,0.211
"Aug 6, 2021",0.434,0.146
"Aug 10, 2021",0.431,0.268
"Aug 17, 2021",0.384,0.194
"Aug 27, 2021",0.426,0.261
"Sep 1, 2021",0.375,0.205
"Sep 7, 2021",0.454,0.209
"Sep 21, 2021",0.406,0.251
"Sep 29, 2021",0.403,0.241
"Oct 1, 2021",0.39,0.137
"Oct 1, 2021",0.4,0.232
"Oct 11, 2021",0.436,0.265
"Oct 16, 2021",0.427,0.256
"Oct 17, 2021",0.441,0.198
"Oct 19, 2021",0.426,0.259
"Oct 21, 2021",0.412,0.255
"Oct 24, 2021",0.242,0.161
"Oct 26, 2021",0.388,0.238
"Oct 29, 2021",0.133,0.089
"Oct 31, 2021",0.357,0.228
"Nov 3, 2021",0.22,0.131
"Nov 8, 2021",0.3,0.241
"Nov 10, 2021",0.318,0.177
"Nov 10, 2021",0.365,0.251
"Nov 12, 2021",0.299,0.159
"Nov 13, 2021",0.289,0.178
"Nov 17, 2021",0.231,0.112
"Nov 18, 2021",0.067,0.053
"Nov 22, 2021",0.25,0.154
"Nov 23, 2021",0.304,0.206
"Nov 25, 2021",0.253,0.164
"Nov 26, 2021",0.244,0.148
"Nov 30, 2021",0.324,0.228
"Dec 3, 2021",0.299,0.208
"Dec 4, 2021",0.186,0.118
"Dec 4, 2021",0.222,0.132
"Dec 5, 2021",0.235,0.163
"Dec 12, 2021",0.228,0.142
"Dec 13, 2021",0.259,0.175
"Dec 18, 2021",0.327,0.225
"Dec 20, 2021",0.145,0.095
"Dec 20, 2021",0.198,0.116
"Dec 20, 2021",0.232,0.15
"Dec 28, 2021",0.194,0.127
"Dec 28, 2021",0.298,0.21
"Dec 30, 2021",0.265,0.178
"Jan 2, 2022",0.268,0.188
"Jan 4, 2022",0.179,0.117
"Jan 5, 2022",0.022,0.025
"Jan 5, 2022",0.147,0.09
"Jan 7, 2022",0.035,0.064
"Jan 13, 2022",0.2,0.13
"Jan 17, 2022",0.288,0.201
"Jan 27, 2022",0.21,0.161
"Jan 29, 2022",0.187,0.114
"Jan 29, 2022",0.196,0.136
"Feb 1, 2022",0.216,0.15
"Feb 3, 2022",0.223,0.158
"Feb 6, 2022",0.09,0.054
"Feb 6, 2022",0.178,0.058
"Feb 8, 2022",0.219,0.151
"Feb 14, 2022",0.152,0.181
"Feb 16, 2022",0.133,0.119
"Feb 21, 2022",0.226,0.167
"Feb 22, 2022",0.153,0.094
"Feb 22, 2022",0.183,0.106
"Feb 23, 2022",0.222,0.159
"Feb 26, 2022",0.21,0.143
"Mar 2, 2022",0.179,0.1
"Mar 3, 2022",0.214,0.139
"Mar 8, 2022",0.184,0.12
"Mar 10, 2022",0.034,0.03
"Mar 15, 2022",0.181,0.092
